Id_empl,Name,Last_Name,birth_date,Gender,area,salary,Start_date,finish_date,promotion_date,type,Age,Email
01-9688532,Deeanne,Laurand,1977-03-03,male,Accounting,94162,2011-10-29,2024-07-07,,Remote,47,Deeanne_La.R@genericcompany.com
01-9742001,Pierette,Ramas,2002-07-03,male,Training,143952,2009-07-04,2016-01-03,,Hybrid,22,Pierette_Ra.H@genericcompany.com
01-9957786,Blondy,Orviss,1992-10-12,male,"Business Development",156637,2003-09-16,2004-07-24,,Remote,31,Blondy_Or.R@genericcompany.com
02-0023435,Georgy,Allitt,1979-04-12,male,Engineering,126745,2011-06-18,2016-06-13,,Hybrid,45,Georgy_Al.H@genericcompany.com
02-0492717,Stormi,McIlmorie,1973-07-23,male,Services,146259,2002-11-13,2010-09-28,,Remote,51,Stormi_Mc.R@genericcompany.com
02-0984298,Demetrius,Repp,1975-01-30,male,Engineering,105142,2005-06-19,2016-04-12,,Hybrid,49,Demetrius_Re.H@genericcompany.com
02-1115741,Barri,Seyfart,1980-07-11,female,Engineering,183815,2018-02-18,2018-11-26,,Remote,44,Barri_Se.R@genericcompany.com
02-1272283,Benjie,Vasechkin,1990-04-25,male,Sales,96468,2005-06-15,2017-12-20,,Hybrid,34,Benjie_Va.H@genericcompany.com
02-1821357,Corette,Borell,1967-08-07,male,Sales,136731,2008-04-19,2012-03-13,,Hybrid,57,Corette_Bo.H@genericcompany.com
02-2814569,Minor,Addess,1987-03-27,male,"Human Resources",91191,2003-03-02,2014-08-29,,Hybrid,37,Minor_Ad.H@genericcompany.com
02-3043161,Rhodia,Kildahl,1972-08-11,male,"Research and Development",121277,2010-03-11,2021-09-10,,Remote,52,Rhodia_Ki.R@genericcompany.com
02-3429255,Calli,Ashlin,2000-01-19,male,Legal,75983,2004-10-08,2012-06-10,,Hybrid,24,Calli_As.H@genericcompany.com
02-3687358,Terra,Febry,1987-04-04,female,Training,175746,2006-10-20,2023-03-27,,Remote,37,Terra_Fe.R@genericcompany.com
02-5365306,Colet,Shinton,1986-02-19,female,Accounting,143875,2009-06-22,2010-04-13,,Remote,38,Colet_Sh.R@genericcompany.com
02-6270951,Bob,Kleszinski,1992-10-05,female,Training,124961,2010-10-11,2012-12-07,,Hybrid,31,Bob_Kl.H@genericcompany.com
02-6313385,Meta,Dennerley,1974-10-22,female,Sales,122421,2004-09-12,2005-10-21,,Hybrid,49,Meta_De.H@genericcompany.com
02-7252298,Ted,Clears,2000-07-30,male,Accounting,72495,2010-07-14,2015-03-24,,Hybrid,24,Ted_Cl.H@genericcompany.com
02-8023786,Pooh,Redding,1969-06-22,female,Accounting,66778,2005-04-19,2006-09-20,,Hybrid,55,Pooh_Re.H@genericcompany.com
02-8178381,Madelaine,Waterstone,1990-05-10,male,Marketing,155236,2008-07-30,2016-05-01,,Remote,34,Madelaine_Wa.R@genericcompany.com
02-8349881,Glenda,Serfati,2002-05-13,female,Training,123399,2001-09-16,2005-04-04,,Hybrid,22,Glenda_Se.H@genericcompany.com
02-8537525,Conrado,Baradel,1967-06-19,female,Sales,76935,2003-01-04,2009-11-22,,Remote,57,Conrado_Ba.R@genericcompany.com
02-8606176,Sabra,Sange,1977-01-31,female,Engineering,106459,2004-04-17,2008-10-14,,Remote,47,Sabra_Sa.R@genericcompany.com
02-8655722,Frank,Harland,2000-03-12,male,Services,162292,2004-09-11,2020-05-23,,Remote,24,Frank_Ha.R@genericcompany.com
02-8826003,Tobit,Peatman,1999-12-22,male,Engineering,158582,2008-03-10,2012-01-18,,Remote,24,Tobit_Pe.R@genericcompany.com
02-9198167,Quill,Olivia,1986-01-22,female,Training,182493,2000-11-24,2006-08-24,,Hybrid,38,Quill_Ol.H@genericcompany.com
02-9848635,Jo-ann,Blitzer,1971-03-17,female,"Research and Development",136999,2005-05-13,2012-04-25,,Hybrid,53,Jo-ann_Bl.H@genericcompany.com
03-0603418,Ware,Gillicuddy,1968-05-23,male,Services,156243,2010-03-28,2019-08-14,,Hybrid,56,Ware_Gi.H@genericcompany.com
03-0756081,Terencio,Bann,1976-05-15,male,Engineering,78630,2011-04-14,2013-03-19,,Hybrid,48,Terencio_Ba.H@genericcompany.com
03-1158217,Rutger,Iveagh,1984-11-03,male,"Research and Development",155676,2005-03-15,2005-07-17,,Hybrid,39,Rutger_Iv.H@genericcompany.com
03-1270313,Mayne,Banbrick,1967-08-04,female,Sales,144196,2005-10-19,2022-12-01,,Remote,57,Mayne_Ba.R@genericcompany.com
03-1452172,Ainslie,Tidbury,1999-08-01,female,Engineering,141280,2003-06-25,2019-12-22,,Hybrid,25,Ainslie_Ti.H@genericcompany.com
03-1910898,Richmound,Baumber,2000-06-22,male,Engineering,79204,2006-08-27,2016-04-30,,Hybrid,24,Richmound_Ba.H@genericcompany.com
03-2136921,Sharia,Riddock,1986-07-17,male,"Human Resources",88884,2006-10-18,2018-01-16,,Remote,38,Sharia_Ri.R@genericcompany.com
03-2388234,Christoph,Smieton,1987-07-12,female,Training,162200,2006-09-15,2010-04-12,,Hybrid,37,Christoph_Sm.H@genericcompany.com
03-3065184,Emmott,Cargenven,1997-03-01,female,Accounting,101451,2009-07-03,2016-11-02,,Remote,27,Emmott_Ca.R@genericcompany.com
03-4116883,Mathilde,Armistead,1973-03-15,female,Services,128655,2011-11-18,2017-07-09,,Remote,51,Mathilde_Ar.R@genericcompany.com
03-4231080,Ferguson,Priestman,1970-05-09,female,"Research and Development",169247,2014-12-01,2017-03-22,,Remote,54,Ferguson_Pr.R@genericcompany.com
03-4245735,Katerine,Hagergham,1972-02-13,female,Support,162497,2012-07-06,2014-01-02,,Remote,52,Katerine_Ha.R@genericcompany.com
03-4724611,Lizabeth,McLice,1988-11-10,female,"Business Development",166569,2005-11-10,2019-04-28,,Remote,35,Lizabeth_Mc.R@genericcompany.com
03-5469853,Ramon,Rawll,1968-12-18,male,Engineering,129469,2005-04-22,2015-05-13,,Remote,55,Ramon_Ra.R@genericcompany.com
03-5504104,Baillie,Kadwallider,1971-01-14,male,"Research and Development",85732,2011-08-09,2018-09-30,,Remote,53,Baillie_Ka.R@genericcompany.com
03-5692409,Tanny,MacRonald,1984-01-08,female,Support,65771,2015-11-28,2024-03-08,,Remote,40,Tanny_Ma.R@genericcompany.com
03-5840562,Fax,Gepheart,1992-07-17,female,Training,177949,2011-12-31,2013-11-06,,Remote,32,Fax_Ge.R@genericcompany.com
03-6141895,Natty,Larne,1993-02-05,female,Engineering,165340,2007-07-11,2011-05-20,,Remote,31,Natty_La.R@genericcompany.com
03-6230242,Barbra,Brotherton,2000-07-20,female,Accounting,88089,2005-04-27,2022-06-04,,Hybrid,24,Barbra_Br.H@genericcompany.com
03-6259593,Sophey,Abelson,1978-06-21,male,"Research and Development",158580,2000-11-11,2009-11-02,,Remote,46,Sophey_Ab.R@genericcompany.com
03-6565096,Stefa,McGlew,1969-12-28,male,Engineering,115163,2005-03-07,2006-01-31,,Remote,54,Stefa_Mc.R@genericcompany.com
03-6799271,Mira,Grabiec,1974-08-29,male,Training,96808,2016-05-03,2021-10-26,,Hybrid,50,Mira_Gr.H@genericcompany.com
03-7105916,Lissi,Cone,1989-04-29,female,Accounting,90662,2001-03-30,2015-03-09,,Remote,35,Lissi_Co.R@genericcompany.com
03-7622489,Bale,Oldroyde,1996-03-23,male,Engineering,158781,2014-12-26,2022-05-02,,Hybrid,28,Bale_Ol.H@genericcompany.com
03-8474248,Jocko,Kidder,1989-04-14,male,Sales,112379,2002-06-18,2005-09-17,,Hybrid,35,Jocko_Ki.H@genericcompany.com
03-8574195,Breanne,Keming,1973-11-28,male,Services,90950,2005-03-16,2017-07-28,,Hybrid,50,Breanne_Ke.H@genericcompany.com
03-9427024,Hervey,Nellis,1988-11-02,female,Accounting,97327,2009-03-12,2013-02-27,,Remote,35,Hervey_Ne.R@genericcompany.com
03-9688688,Weylin,Gerin,1994-05-03,male,Engineering,178779,2003-06-05,2005-01-16,,Hybrid,30,Weylin_Ge.H@genericcompany.com
03-9903741,Sallyanne,Benedtti,1982-04-25,male,Services,122977,2011-05-28,2017-07-04,,Remote,42,Sallyanne_Be.R@genericcompany.com
04-0486141,Zaneta,McKelvey,1978-02-03,male,"Research and Development",184479,2008-08-01,2023-05-21,,Hybrid,46,Zaneta_Mc.H@genericcompany.com
04-1066063,Celene,Killiam,1994-12-05,female,Accounting,114381,2004-05-02,2011-09-27,,Hybrid,29,Celene_Ki.H@genericcompany.com
04-1160870,Fredericka,Bust,1997-08-17,female,Training,96470,2003-03-25,2021-05-02,,Hybrid,27,Fredericka_Bu.H@genericcompany.com
04-1436193,Karla,Braney,1983-04-03,female,Accounting,122107,2014-01-01,2018-09-10,,Remote,41,Karla_Br.R@genericcompany.com
04-1517613,Teodoor,Pedgrift,2002-06-11,female,Engineering,154630,2006-01-26,2010-05-10,,Remote,22,Teodoor_Pe.R@genericcompany.com
04-1633134,Karalynn,Liptrot,1966-05-24,male,Engineering,144334,2001-02-12,2012-08-20,,Hybrid,58,Karalynn_Li.H@genericcompany.com
04-1846467,Georgy,Snailham,1970-05-28,female,Services,115618,2009-01-10,2020-02-25,,Hybrid,54,Georgy_Sn.H@genericcompany.com
04-2578689,Ciro,Byford,1968-03-03,male,"Business Development",107081,2002-05-31,2005-08-28,,Hybrid,56,Ciro_By.H@genericcompany.com
04-3018897,Steward,Matheson,1973-11-29,male,"Research and Development",84156,2002-11-23,2021-10-27,,Hybrid,50,Steward_Ma.H@genericcompany.com
04-3674710,Borg,Anwell,1967-04-21,female,"Business Development",162671,2004-10-12,2020-12-02,,Remote,57,Borg_An.R@genericcompany.com
04-3725112,Maurita,Spino,1970-03-10,female,Engineering,178723,2003-06-11,2008-01-10,,Remote,54,Maurita_Sp.R@genericcompany.com
04-4059376,Levin,Rosenfeld,1988-08-12,male,Engineering,149109,2003-12-07,2021-02-25,,Remote,36,Levin_Ro.R@genericcompany.com
04-4464846,Eloisa,Colafate,1988-05-18,male,Engineering,132753,2006-09-17,2021-03-17,,Hybrid,36,Eloisa_Co.H@genericcompany.com
04-4671409,Sawyer,Braunds,1971-04-11,female,"Business Development",80294,2012-09-15,2013-08-18,,Hybrid,53,Sawyer_Br.H@genericcompany.com
04-5566039,Barb,Allman,1972-11-01,male,Support,138778,2011-04-22,2012-06-29,,Hybrid,51,Barb_Al.H@genericcompany.com
04-5882101,Renado,Stenton,1989-12-31,female,"Human Resources",130802,2007-10-11,2023-12-29,,Remote,34,Renado_St.R@genericcompany.com
04-6009178,Yuri,Mathiot,1993-07-28,female,Services,71897,2002-12-20,2021-07-27,,Remote,31,Yuri_Ma.R@genericcompany.com
04-6046125,Mary,Howling,1988-01-11,female,Training,98718,2006-09-20,2021-08-29,,Remote,36,Mary_Ho.R@genericcompany.com
04-6121329,Rhiamon,Saynor,1994-03-16,male,Services,130127,2014-07-13,2016-05-26,,Hybrid,30,Rhiamon_Sa.H@genericcompany.com
04-6350506,Oliy,Beharrell,1981-09-04,male,Engineering,90936,2009-12-30,2014-03-17,,Remote,43,Oliy_Be.R@genericcompany.com
04-6370787,Liuka,Cowwell,1977-10-14,male,Engineering,108220,2012-02-09,2015-02-05,,Hybrid,46,Liuka_Co.H@genericcompany.com
04-6520914,Morey,Heathcoat,1996-11-07,male,"Research and Development",69302,2008-08-30,2017-06-25,,Remote,27,Morey_He.R@genericcompany.com
04-6722722,Jacqui,Andreopolos,1966-03-08,male,Accounting,131824,2007-12-29,2010-11-04,,Remote,58,Jacqui_An.R@genericcompany.com
04-7692870,Prudence,Mariel,1990-04-24,female,"Product Management",160867,2001-10-17,2003-08-08,,Remote,34,Prudence_Ma.R@genericcompany.com
04-8692226,Lilllie,Totton,1997-11-03,male,"Human Resources",132980,2004-01-24,2021-02-12,,Hybrid,26,Lilllie_To.H@genericcompany.com
04-8851176,Tabb,McLenahan,1976-06-10,female,Accounting,73446,2005-04-17,2018-02-20,,Hybrid,48,Tabb_Mc.H@genericcompany.com
04-9142144,Nissie,Petrolli,1988-07-13,male,Sales,102320,2003-05-21,2006-11-03,,Remote,36,Nissie_Pe.R@genericcompany.com
05-0448312,Kristan,Machans,1975-04-22,female,"Product Management",105532,2011-11-03,2018-12-13,,Remote,49,Kristan_Ma.R@genericcompany.com
05-0921423,Felipe,Aulton,1977-09-06,female,Training,91284,2020-08-05,2020-11-25,,Remote,47,Felipe_Au.R@genericcompany.com
05-0984551,Carmel,Feaster,1968-02-05,female,Accounting,130890,2011-12-18,2021-02-07,,Hybrid,56,Carmel_Fe.H@genericcompany.com
05-1080044,Franny,Vannozzii,1993-05-03,female,Engineering,72859,2003-07-26,2016-08-09,,Hybrid,31,Franny_Va.H@genericcompany.com
05-1307149,Pearle,Maple,1980-02-17,male,"Business Development",135537,2000-10-19,2005-10-14,,Remote,44,Pearle_Ma.R@genericcompany.com
05-1346034,Rochelle,Hastwell,1970-10-12,female,"Research and Development",147227,2010-10-09,2012-03-04,,Remote,53,Rochelle_Ha.R@genericcompany.com
05-1765038,Lissy,Barnbrook,2000-01-31,female,Training,167242,2003-08-03,2007-12-19,,Remote,24,Lissy_Ba.R@genericcompany.com
05-1812656,Warner,Cawker,1985-10-25,female,"Business Development",120463,2006-01-03,2014-12-25,,Hybrid,38,Warner_Ca.H@genericcompany.com
05-2049999,Zachariah,Tomkins,1987-06-06,female,Sales,164423,2006-05-02,2019-02-25,,Remote,37,Zachariah_To.R@genericcompany.com
05-2194477,Clemente,Elmore,1972-09-14,male,Accounting,121102,2012-05-25,2013-04-09,,Remote,52,Clemente_El.R@genericcompany.com
05-2622388,Queenie,Baruch,1994-02-11,male,Marketing,178217,2017-06-24,2020-06-17,,Hybrid,30,Queenie_Ba.H@genericcompany.com
05-2746611,Maryanne,Abramowsky,1967-07-07,female,Services,160655,2018-04-17,2018-11-06,,Remote,57,Maryanne_Ab.R@genericcompany.com
05-3127003,Kimball,Pickett,1991-08-18,female,Engineering,74368,2010-09-10,2017-06-27,,Hybrid,33,Kimball_Pi.H@genericcompany.com
05-3402073,Case,Soro,1974-04-22,female,Training,182779,2003-01-12,2023-10-18,,Hybrid,50,Case_So.H@genericcompany.com
05-3864894,Karylin,Phythien,1968-04-24,female,Accounting,72739,2013-11-03,2022-03-12,,Remote,56,Karylin_Ph.R@genericcompany.com
05-4093549,Shelba,Borthram,1965-11-01,male,"Human Resources",103371,2005-01-04,2009-10-22,,Hybrid,58,Shelba_Bo.H@genericcompany.com
05-4369160,Maressa,Garrold,1967-08-04,female,"Human Resources",170055,2004-04-05,2006-10-24,,Hybrid,57,Maressa_Ga.H@genericcompany.com
05-4705810,Crosby,Lanegran,1976-01-30,female,Training,128723,2002-03-21,2018-10-26,,Hybrid,48,Crosby_La.H@genericcompany.com
05-4835600,Chicky,Bastock,1998-08-06,female,Sales,139623,2006-08-24,2014-02-15,,Hybrid,26,Chicky_Ba.H@genericcompany.com
05-5416473,Lisa,Birtwisle,1968-07-16,female,Engineering,180498,2007-03-08,2023-07-17,,Hybrid,56,Lisa_Bi.H@genericcompany.com
05-6775716,Cleve,Tirrey,1992-08-18,female,Sales,161847,2006-12-19,2021-02-28,,Remote,32,Cleve_Ti.R@genericcompany.com
05-6782848,Pinchas,Stanford,1975-01-19,male,Engineering,140834,2003-01-11,2008-02-16,,Remote,49,Pinchas_St.R@genericcompany.com
05-6989663,Cherice,Flucker,1988-06-25,male,Engineering,69685,2013-02-08,2019-01-16,,Remote,36,Cherice_Fl.R@genericcompany.com
05-6991741,Gardy,Saing,1985-04-15,male,Sales,74544,2005-02-16,2012-10-08,,Hybrid,39,Gardy_Sa.H@genericcompany.com
05-7112176,Miles,Doppler,1987-05-05,female,Support,126359,2004-07-22,2017-08-17,,Remote,37,Miles_Do.R@genericcompany.com
05-7463770,Andrea,Vautin,1990-01-15,female,Sales,164956,2007-05-28,2018-05-16,,Remote,34,Andrea_Va.R@genericcompany.com
05-7989843,Karlis,Fenwick,2001-10-29,male,Engineering,145722,2001-05-10,2017-02-21,,Hybrid,22,Karlis_Fe.H@genericcompany.com
05-8532906,Sloan,Sollowaye,1985-11-30,female,Engineering,147183,2005-03-14,2019-05-29,,Remote,38,Sloan_So.R@genericcompany.com
05-9043354,Kessia,Yaus,1976-06-02,female,Engineering,86023,2008-03-30,2010-09-07,,Remote,48,Kessia_Ya.R@genericcompany.com
05-9392006,Coletta,Goalby,1981-12-25,female,Engineering,83418,2007-03-16,2012-02-17,,Remote,42,Coletta_Go.R@genericcompany.com
05-9629441,Winny,Mosten,1970-09-17,male,Accounting,130675,2006-09-16,2007-04-15,,Hybrid,54,Winny_Mo.H@genericcompany.com
05-9833633,Andros,Grabiec,1985-01-19,male,Engineering,137558,2004-10-30,2009-08-03,,Remote,39,Andros_Gr.R@genericcompany.com
06-0935981,Eustace,Rummin,1985-06-23,male,Accounting,80342,2004-07-02,2007-02-26,,Remote,39,Eustace_Ru.R@genericcompany.com
06-1379885,Egor,Carnall,1990-03-31,male,Services,93895,2009-10-31,2015-11-29,,Remote,34,Egor_Ca.R@genericcompany.com
06-1772314,Laureen,Kitney,1980-12-08,male,Support,65274,2003-10-01,2010-07-15,,Hybrid,43,Laureen_Ki.H@genericcompany.com
06-2087492,Clayborne,Kearley,1980-03-03,male,"Business Development",79671,2006-10-22,2014-06-30,,Hybrid,44,Clayborne_Ke.H@genericcompany.com
06-2594547,Lynelle,Aris,1999-06-03,female,Engineering,101289,2009-06-09,2014-10-13,,Remote,25,Lynelle_Ar.R@genericcompany.com
06-3280590,Lisle,Cadalleder,1969-03-02,female,Services,142465,2002-12-02,2014-03-21,,Remote,55,Lisle_Ca.R@genericcompany.com
06-3483438,Jannel,Morey,1976-06-19,male,"Product Management",132928,2011-12-26,2017-09-25,,Remote,48,Jannel_Mo.R@genericcompany.com
06-3598764,Christie,Chicchelli,1995-01-03,female,Training,88518,2013-01-26,2021-09-30,,Hybrid,29,Christie_Ch.H@genericcompany.com
06-3717838,Johnathan,Randell,1988-12-22,male,"Research and Development",147299,2002-01-10,2014-01-30,,Remote,35,Johnathan_Ra.R@genericcompany.com
06-4132041,Tedi,Cawthra,1978-10-22,female,"Human Resources",112874,2005-05-03,2008-06-22,,Remote,45,Tedi_Ca.R@genericcompany.com
06-4337105,Harmony,Kirlin,1970-05-14,female,Services,140835,2014-09-06,2014-12-18,,Hybrid,54,Harmony_Ki.H@genericcompany.com
06-4453808,Laurie,Mapstone,1990-09-27,male,Support,136719,2012-11-20,2016-03-08,,Hybrid,33,Laurie_Ma.H@genericcompany.com
06-4504655,Darius,Kalisz,1981-01-24,female,Training,97776,2010-12-25,2022-03-28,,Hybrid,43,Darius_Ka.H@genericcompany.com
